smearing_degauss_Ry,lattice_temperature_K,lattice_condition,direction,distance,signed_distance,q1,q2,short_range_background_cm-1,full_EPC_response_Ry2,long_range_correction_cm-2,MLIP_plus_full_EPC_cm-1
0.00285013035,,fixed_static_lattice_reference,KG,0.074,-0.074,0.3086666666666667,0.3086666666666667,1380.2748002408223,-1.1427089654016049e-06,-183788.5938663551,1312.00988194201
0.00285013035,,fixed_static_lattice_reference,KG,0.075,-0.075,0.30833333333333335,0.30833333333333335,1380.2821534290986,-1.1002046291567414e-06,-183276.74481383467,1312.2126650284379
0.00285013035,,fixed_static_lattice_reference,KG,0.076,-0.076,0.308,0.308,1380.289689997948,-1.0589386205399122e-06,-182779.80804742707,1312.4099284397403
0.00285013035,,fixed_static_lattice_reference,KG,0.077,-0.077,0.3076666666666667,0.3076666666666667,1380.297412770596,-1.01452114651511e-06,-182244.92045704165,1312.6218142496946
0.00285013035,,fixed_static_lattice_reference,KG,0.078,-0.078,0.30733333333333335,0.30733333333333335,1380.3053245873323,-9.714148020482547e-07,-181725.821853881,1312.8278513309579
0.00285013035,,fixed_static_lattice_reference,KG,0.079,-0.079,0.307,0.307,1380.313428305167,-9.325803467430328e-07,-181258.16652952507,1313.0144682485559
0.00285013035,,fixed_static_lattice_reference,KG,0.08,-0.08,0.3066666666666667,0.3066666666666667,1380.321726797487,-8.953715229188504e-07,-180810.08751212576,1313.1938097467068
0.00285013035,,fixed_static_lattice_reference,KG,0.081,-0.081,0.30633333333333335,0.30633333333333335,1380.3302229537114,-8.562760329129267e-07,-180339.28873521808,1313.3819839118491
0.00285013035,,fixed_static_lattice_reference,KG,0.082,-0.082,0.306,0.306,1380.338919678945,-8.228997741185824e-07,-179937.36253309733,1313.5441258851338
0.00285013035,,fixed_static_lattice_reference,KG,0.083,-0.083,0.3056666666666667,0.3056666666666667,1380.3478198936255,-8.079377701346427e-07,-179757.18591490787,1313.6220605524927
0.00285013035,,fixed_static_lattice_reference,KG,0.084,-0.084,0.30533333333333335,0.30533333333333335,1380.3569265331753,-7.637980927285716e-07,-179225.64362875852,1313.833932047485
0.00285013035,,fixed_static_lattice_reference,KG,0.085,-0.085,0.305,0.305,1380.3662425476473,-7.094301045722651e-07,-178570.92917645106,1314.0928560754978
