direction,distance,signed_distance,q1,q2,short_range_MLIP_cm-1,full_EPC_response_Ry2,long_range_correction_cm-2,MLIP_plus_full_EPC_cm-1
KM,0.025,0.025,0.3416666666666666,0.31666666666666665,1380.0816794678167,-4.420510597902279e-06,-223260.7938386149,1296.6744572806601
KM,0.026000000000000002,0.026000000000000002,0.342,0.316,1380.0825425586831,-4.314706176546569e-06,-221986.66753509128,1297.1665878907565
KM,0.027,0.027,0.3423333333333333,0.3153333333333333,1380.08343613568,-4.210487567805423e-06,-220731.63802864653,1297.6512060902262
KM,0.028,0.028,0.3426666666666667,0.31466666666666665,1380.0843602313616,-4.107413305091716e-06,-219490.38905571075,1298.130367990633
KM,0.029,0.029,0.34299999999999997,0.314,1380.0853149088398,-4.005963575213682e-06,-218268.70315953816,1298.6018532512162
KM,0.03,0.03,0.3433333333333333,0.3133333333333333,1380.0863002616625,-3.9057553184153645e-06,-217061.9674278834,1299.0674458018107
KM,0.031,0.031,0.3436666666666666,0.31266666666666665,1380.0873164136876,-3.807010061317243e-06,-215872.84954599512,1299.5261257011875
KM,0.032,0.032,0.34400000000000003,0.312,1380.0883635189489,-3.709461444053173e-06,-214698.1419341964,1299.9791341349344
KM,0.033,0.033,0.3443333333333333,0.3113333333333333,1380.0894417615211,-3.6134840251329636e-06,-213542.35513035936,1300.4247429710292
KM,0.034,0.034,0.3446666666666667,0.31066666666666665,1380.0905513553828,-3.5186477051405492e-06,-212400.30975755322,1300.8649507857651
KM,0.035,0.035,0.345,0.31,1380.0916925442664,-3.4254113937326394e-06,-211277.53213364887,1301.297639933328
KM,0.036000000000000004,0.036000000000000004,0.3453333333333333,0.3093333333333333,1380.0928656015092,-3.33320324818747e-06,-210167.1359693595,1301.7254632659015
KM,0.037,0.037,0.3456666666666666,0.3086666666666667,1380.0940708299047,-3.2425945814642213e-06,-209076.00117442338,1302.1457841445538
KM,0.038,0.038,0.34600000000000003,0.308,1380.0953085615408,-3.15320421948333e-06,-207999.5375444353,1302.5603721782493
KM,0.039,0.039,0.3463333333333333,0.30733333333333335,1380.0965791576352,-3.065083851769424e-06,-206938.367539044,1302.9689943600204
