smearing_degauss_Ry,fit_scope,signed_distance,DFPT_fit_frequency_cm-1
0.0019000869,K_to_Gamma,-0.018224999999999998,1295.8257644829844
0.0019000869,K_to_Gamma,-0.018299999999999997,1295.869248390379
0.0019000869,K_to_Gamma,-0.018375,1295.9127401237602
0.0019000869,K_to_Gamma,-0.018449999999999998,1295.9562393199783
0.0019000869,K_to_Gamma,-0.018525,1295.9997456204983
0.0019000869,K_to_Gamma,-0.0186,1296.0432586713323
0.0019000869,K_to_Gamma,-0.018674999999999997,1296.0867781229708
0.0019000869,K_to_Gamma,-0.01875,1296.1303036303177
0.0019000869,K_to_Gamma,-0.018824999999999998,1296.1738348526235
0.0019000869,K_to_Gamma,-0.018899999999999997,1296.2173714534224
0.0019000869,K_to_Gamma,-0.018975,1296.2609131004674
0.0019000869,K_to_Gamma,-0.019049999999999997,1296.3044594656703
0.0019000869,K_to_Gamma,-0.019125,1296.3480102250383
0.0019000869,K_to_Gamma,-0.0192,1296.391565058615
0.0019000869,K_to_Gamma,-0.019274999999999997,1296.435123650422
0.0019000869,K_to_Gamma,-0.01935,1296.478685688398
0.0019000869,K_to_Gamma,-0.019424999999999998,1296.5222508643449
0.0019000869,K_to_Gamma,-0.0195,1296.565818873869
0.0019000869,K_to_Gamma,-0.019575,1296.6093894163264
0.0019000869,K_to_Gamma,-0.019649999999999997,1296.6529621947693
0.0019000869,K_to_Gamma,-0.019725,1296.6965369158902
0.0019000869,K_to_Gamma,-0.019799999999999998,1296.7401132899718
0.0019000869,K_to_Gamma,-0.019874999999999997,1296.7836910308333
0.0019000869,K_to_Gamma,-0.01995,1296.8272698557794
0.0019000869,K_to_Gamma,-0.020024999999999998,1296.8708494855516
0.0019000869,K_to_Gamma,-0.0201,1296.914429644277
0.0019000869,K_to_Gamma,-0.020175,1296.95801005942
0.0019000869,K_to_Gamma,-0.020249999999999997,1297.0015904617362
0.0019000869,K_to_Gamma,-0.020325,1297.0451705852226
0.0019000869,K_to_Gamma,-0.020399999999999998,1297.0887501670736
0.0019000869,K_to_Gamma,-0.020474999999999997,1297.1323289476338
0.0019000869,K_to_Gamma,-0.02055,1297.1759066703546
0.0019000869,K_to_Gamma,-0.020624999999999998,1297.2194830817493
0.0019000869,K_to_Gamma,-0.0207,1297.263057931349
0.0019000869,K_to_Gamma,-0.020775,1297.3066309716617
0.0019000869,K_to_Gamma,-0.020849999999999997,1297.3502019581288
0.0019000869,K_to_Gamma,-0.020925,1297.393770649084
0.0019000869,K_to_Gamma,-0.020999999999999998,1297.4373368057136
0.0019000869,K_to_Gamma,-0.021074999999999997,1297.4809001920144
0.0019000869,K_to_Gamma,-0.02115,1297.5244605747564
0.0019000869,K_to_Gamma,-0.021224999999999997,1297.5680177234433
0.0019000869,K_to_Gamma,-0.0213,1297.6115714102737
0.0019000869,K_to_Gamma,-0.021374999999999998,1297.6551214101044
0.0019000869,K_to_Gamma,-0.021449999999999997,1297.6986675004127
0.0019000869,K_to_Gamma,-0.021525,1297.7422094612607
0.0019000869,K_to_Gamma,-0.021599999999999998,1297.7857470752592
0.0019000869,K_to_Gamma,-0.021675,1297.829280127532
0.0019000869,K_to_Gamma,-0.02175,1297.8728084056818
0.0019000869,K_to_Gamma,-0.021824999999999997,1297.916331699756
0.0019000869,K_to_Gamma,-0.0219,1297.959849802213
