signed_distance,MLIP_full_EPC_LR_original_cm-1,MLIP_full_EPC_LR_reanchored_cm-1,DFPT_N_infinity_local_cusp_cm-1,K_aligned_model_minus_DFPT_cm-1
-0.000595,1282.5465285902774,1284.5683616165943,1284.610526742238,-0.04216512564380537
-0.0005899999999999998,1282.5433244147812,1284.565157441098,1284.6071173160537,-0.04195987495563713
-0.000585,1282.5401233354116,1284.5619563617286,1284.6037078898696,-0.041751528141048766
-0.0005799999999999998,1282.5369254065606,1284.5587584328775,1284.6002984636855,-0.041540030807937
-0.000575,1282.5337306826207,1284.5555637089376,1284.5968890375011,-0.04132532856351645
-0.0005699999999999998,1282.5305392179835,1284.5523722443004,1284.593479611317,-0.041107367016593344
-0.000565,1282.5273510670409,1284.5491840933578,1284.5900701851328,-0.040886091775064415
-0.0005599999999999997,1282.5241662841854,1284.5459993105023,1284.5866607589485,-0.04066144844614428
-0.0005549999999999999,1282.520984923808,1284.542817950125,1284.5832513327643,-0.04043338263932128
-0.0005499999999999997,1282.5178070403022,1284.539640066619,1284.5798419065802,-0.040201839961127916
-0.0005449999999999999,1282.5146326880588,1284.5364657143757,1284.5764324803959,-0.03996676602014304
-0.0005399999999999997,1282.51146192147,1284.533294947787,1284.5730230542117,-0.039728106424718135
-0.0005349999999999999,1282.5082947949281,1284.530127821245,1284.5696136280276,-0.03948580678252256
-0.0005299999999999997,1282.5051313628248,1284.5269643891418,1284.5662042018432,-0.03923981270145305
-0.0005249999999999999,1282.5019716795525,1284.5238047058695,1284.562794775659,-0.03899006978963371
-0.0005200000000000001,1282.4988157995026,1284.5206488258195,1284.559385349475,-0.03873652365541602
-0.0005149999999999998,1282.4956637770676,1284.5174968033846,1284.5559759232906,-0.0384791199060146
-0.00051,1282.492515666639,1284.514348692956,1284.5525664971065,-0.03821780415046305
-0.0005049999999999998,1282.4893715226099,1284.5112045489268,1284.5491570709223,-0.03795252199552124
-0.0005,1282.486231399371,1284.508064425688,1284.545747644738,-0.03768321904999539
